timestep,plant_id,discharge,bypass,spill,controlled_inflow,controlled_outflow,volume_res
36,49929,-1.4551915082847684e-11,0.0,0.0,0.0,-1.4551915082847684e-11,26000.00000000003
36,49930,0.0,1.4549004990840303e-11,0.0,0.0,1.4549004990840303e-11,24999.999999999985
36,49931,0.0,0.0,-1.4551915082847684e-11,-1.4551915082847684e-11,-1.4551915082847684e-11,0.0
37,49900,0.0,98.41090677758771,0.0,98.43059175515822,98.41090677758771,0.0
37,49901,0.0,0.0,0.0,0.0,0.0,0.0
37,49902,0.0,0.0,82.78827799999996,0.0,82.78827799999996,276.3876633782623
37,49903,0.0,0.0,0.0,0.0,0.0,0.0
37,49904,0.0,0.0,0.0,0.0,0.0,0.0
37,49905,0.0,0.0,0.0,0.0,0.0,495.3125
37,49906,15.650591755158061,0.0,0.0,93.2468302068573,15.650591755158061,184432.35295584725
37,49907,82.78000000001876,0.0,0.0,82.78827799999996,82.78000000001876,0.0
37,49908,0.0,0.0,0.0,0.0,0.0,0.0
37,49911,13.039999999997196,0.0,0.0,0.0,13.039999999997196,18455.482338004313
37,49912,0.0,0.0,0.0,0.0,0.0,32500.0
37,49913,0.0,0.0,0.0,0.0,0.0,0.0
37,49914,0.0,0.0,0.0,0.0,0.0,0.0
37,49915,0.0,0.0,0.0,0.0,0.0,3000.0
37,49920,80.20683020682316,0.0,0.0,76.59510574469982,80.20683020682316,1883.5115788340804
37,49921,0.0,0.0,0.0,0.0,0.0,0.0
37,49922,76.59510574469982,0.0,0.0,32.95390735871019,76.59510574469982,323.21545848001665
37,49923,0.0,0.0,0.0,0.0,0.0,0.0
37,49924,32.95390735871019,0.0,0.0,46.68966850000011,32.95390735871019,18682.67491873225
37,49925,46.68966850000011,0.0,0.0,0.0,46.68966850000011,290943.85010212415
37,49927,0.0,0.0,0.0,0.0,0.0,93500.0
37,49928,0.0,0.0,0.0,-2.9100920073236974e-15,0.0,0.0
37,49929,0.0,0.0,0.0,0.0,0.0,26000.00000000003
37,49930,1.4549004990840303e-11,0.0,-1.4551915082847684e-11,0.0,-2.9100920073236974e-15,24999.999999999985
37,49931,0.0,0.0,0.0,0.0,0.0,0.0
38,49900,0.0,0.0,101.64503391685903,101.6653657845466,101.64503391685903,0.0
38,49901,0.0,0.0,0.0,0.0,0.0,0.0
38,49902,0.0,0.0,82.78827799999996,29.200171777877422,82.78827799999996,262.9932860557455
38,49903,29.200171777877422,0.0,0.0,29.20458112509979,29.200171777877422,0.0
38,49904,0.0,0.0,0.0,0.0,0.0,0.0
38,49905,29.20458112509979,0.0,0.0,0.0,29.20458112509979,488.0118773225168
38,49906,18.88536578454672,0.0,0.0,93.24683020688703,18.88536578454672,184450.94332190562
38,49907,82.78000000001876,0.0,0.0,82.78827799999996,82.78000000001876,0.0
38,49908,0.0,0.0,0.0,0.0,0.0,0.0
38,49911,13.039999999997196,0.0,0.0,0.0,13.039999999997196,18452.222338004314
38,49912,0.0,0.0,0.0,0.0,0.0,32500.0
38,49913,0.0,0.0,0.0,0.0,0.0,0.0
38,49914,0.0,0.0,0.0,0.0,0.0,0.0
