id,area,timestep,b,load,shedding,dumping
388,2,1,3,109.99,0.0,139.49
389,2,2,0,121.28,0.0,139.49
390,2,2,1,121.28,0.0,58.1
391,2,2,2,121.28,0.0,169.29
392,2,2,3,121.28,0.0,82.27
393,2,3,0,137.7,0.0,82.27
394,2,3,1,137.7,0.0,0.0
395,2,3,2,137.7,0.0,120.15
396,2,3,3,137.7,0.0,16.22
397,2,4,0,154.33,0.0,23.29
398,2,4,1,154.33,0.0,0.0
399,2,4,2,154.33,0.0,74.45
400,2,4,3,154.33,0.0,0.0
401,2,5,0,169.79,0.0,0.0
402,2,5,1,169.79,0.0,0.0
403,2,5,2,169.79,0.0,0.0
404,2,5,3,169.79,0.0,0.0
405,2,6,0,185.3,0.0,0.0
406,2,6,1,185.3,0.0,0.0
407,2,6,2,185.3,0.0,0.0
408,2,6,3,185.3,0.0,0.0
409,2,7,0,203.7,0.0,0.0
410,2,7,1,203.7,0.0,0.0
411,2,7,2,203.7,0.0,0.0
412,2,7,3,203.7,0.0,0.0
413,2,8,0,225.71,0.0,0.0
414,2,8,1,225.71,0.0,0.0
415,2,8,2,225.71,0.0,0.0
416,2,8,3,225.71,0.0,0.0
417,2,9,0,258.41,0.0,0.0
418,2,9,1,258.41,0.0,0.0
419,2,9,2,258.41,0.0,0.0
420,2,9,3,258.41,0.0,0.0
421,2,10,0,291.36,0.0,0.0
422,2,10,1,291.36,0.0,0.0
423,2,10,2,291.36,0.0,0.0
424,2,10,3,291.36,0.0,0.0
425,2,11,0,306.56,0.0,0.0
426,2,11,1,306.56,0.0,0.0
427,2,11,2,306.56,0.0,0.0
428,2,11,3,306.56,0.0,0.0
429,2,12,0,303.24,0.0,0.0
430,2,12,1,303.24,0.0,0.0
431,2,12,2,303.24,0.0,0.0
432,2,12,3,303.24,0.0,0.0
433,2,13,0,282.56,0.0,0.0
434,2,13,1,282.56,0.0,0.0
435,2,13,2,282.56,0.0,0.0
436,2,13,3,282.56,0.0,0.0
437,2,14,0,261.55,0.0,0.0
438,2,14,1,261.55,0.0,0.0
439,2,14,2,261.55,0.0,0.0
440,2,14,3,261.55,0.0,0.0
441,2,15,0,249.07,0.0,0.0
442,2,15,1,249.07,0.0,0.0
443,2,15,2,249.07,0.0,0.0
444,2,15,3,249.07,0.0,0.0
445,2,16,0,237.67,0.0,0.0
446,2,16,1,237.67,0.0,0.0
447,2,16,2,237.67,0.0,0.0
448,2,16,3,237.67,0.0,0.0
449,2,17,0,221.7,0.0,0.0
450,2,17,1,221.7,0.0,0.0
451,2,17,2,221.7,0.0,0.0
452,2,17,3,221.7,0.0,0.0
453,2,18,0,206.56,0.0,0.0
454,2,18,1,206.56,0.0,0.0
455,2,18,2,206.56,0.0,0.0
456,2,18,3,206.56,0.0,0.0
457,2,19,0,203.15,0.0,0.0
458,2,19,1,203.15,0.0,0.0
459,2,19,2,203.15,0.0,0.0
460,2,19,3,203.15,0.0,0.0
461,2,20,0,211.92,0.0,0.0
462,2,20,1,211.92,0.0,0.0
463,2,20,2,211.92,0.0,0.0
464,2,20,3,211.92,0.0,0.0
465,2,21,0,237.11,0.0,0.0
466,2,21,1,237.11,0.0,0.0
467,2,21,2,237.11,0.0,0.0
468,2,21,3,237.11,0.0,0.0
469,2,22,0,263.08,0.0,0.0
470,2,22,1,263.08,0.0,0.0
471,2,22,2,263.08,0.0,0.0
472,2,22,3,263.08,0.0,0.0
473,2,23,0,274.26,0.0,0.0
474,2,23,1,274.26,0.0,0.0
