timestep,line_id,transmission,area_from,area_to
68,3,-5.684341886080802e-14,1,3
68,4,-5.684341886080802e-14,3,1
68,5,-5.684341886080802e-14,2,3
68,6,71.05600381890372,3,2
69,1,82.01655346345876,1,2
69,2,-5.684341886080802e-14,2,1
69,3,17.591002005116117,1,3
69,4,-5.684341886080802e-14,3,1
69,5,-5.684341886080802e-14,2,3
69,6,9.581471799924994,3,2
70,1,42.29365053007564,1,2
70,2,-5.684341886080802e-14,2,1
70,3,54.55331991869924,1,3
70,4,-5.684341886080802e-14,3,1
70,5,-5.684341886080802e-14,2,3
70,6,-5.684341886080802e-14,3,2
71,1,14.892767173131285,1,2
71,2,-5.684341886080802e-14,2,1
71,3,64.63346626924337,1,3
71,4,-5.684341886080802e-14,3,1
71,5,3.959999960399927,2,3
71,6,-5.684341886080802e-14,3,2
72,1,2.734682817499954,1,2
72,2,-5.684341886080802e-14,2,1
72,3,43.36525607637463,1,3
72,4,-5.684341886080802e-14,3,1
72,5,8.365540970449977,2,3
72,6,-5.684341886080802e-14,3,2
73,1,-5.684341886080802e-14,1,2
73,2,13.18867898602496,2,1
73,3,4.947005999924956,1,3
73,4,18.641779499126457,3,1
73,5,3.809459015999927,2,3
73,6,-5.684341886080802e-14,3,2
74,1,-5.684341886080802e-14,1,2
74,2,31.47796946797488,2,1
74,3,-5.684341886080802e-14,1,3
74,4,33.37673094020668,3,1
74,5,-5.684341886080802e-14,2,3
74,6,-5.684341886080802e-14,3,2
75,1,-5.684341886080802e-14,1,2
75,2,36.622481461624794,2,1
75,3,-5.684341886080802e-14,1,3
75,4,38.061683088299084,3,1
75,5,-5.684341886080802e-14,2,3
75,6,-5.684341886080802e-14,3,2
76,1,-5.684341886080802e-14,1,2
76,2,30.83408542619999,2,1
76,3,-5.684341886080802e-14,1,3
76,4,25.62892962996161,3,1
76,5,-5.684341886080802e-14,2,3
76,6,-5.684341886080802e-14,3,2
77,1,6.553699554424963,1,2
77,2,4.789284523649953,2,1
77,3,1.6463888724249294,1,3
77,4,8.865750341349935,3,1
77,5,-5.684341886080802e-14,2,3
77,6,0.7697751440597953,3,2
78,1,5.9430988363385575,1,2
78,2,-5.684341886080802e-14,2,1
78,3,5.63993561898633,1,3
78,4,-5.684341886080802e-14,3,1
78,5,-5.684341886080802e-14,2,3
78,6,4.683053115024973,3,2
79,1,5.93145904477492,1,2
79,2,-5.684341886080802e-14,2,1
79,3,10.448509412874918,1,3
79,4,-5.684341886080802e-14,3,1
79,5,8.368423008624962,2,3
79,6,1.6795201852249524,3,2
80,1,5.265151462499956,1,2
80,2,1.2780333461110556,2,1
80,3,5.63675698762493,1,3
80,4,-5.684341886080802e-14,3,1
80,5,36.229399206688825,2,3
80,6,-5.684341886080802e-14,3,2
81,1,-5.684341886080802e-14,1,2
81,2,20.106917107424156,2,1
81,3,-5.684341886080802e-14,1,3
81,4,-5.684341886080802e-14,3,1
81,5,82.09047578102555,2,3
81,6,-5.684341886080802e-14,3,2
82,1,-5.684341886080802e-14,1,2
82,2,27.28278176313108,2,1
82,3,-5.684341886080802e-14,1,3
82,4,-5.684341886080802e-14,3,1
82,5,104.9931086528687,2,3
82,6,-5.684341886080802e-14,3,2
83,1,-5.684341886080802e-14,1,2
83,2,19.35778125222218,2,1
83,3,-5.684341886080802e-14,1,3
83,4,-5.684341886080802e-14,3,1
83,5,119.41447616360274,2,3
83,6,-5.684341886080802e-14,3,2
84,1,-5.684341886080802e-14,1,2
84,2,13.618425647499947,2,1
84,3,18.71464552742489,1,3
84,4,-5.684341886080802e-14,3,1
84,5,108.04231823957525,2,3
84,6,-5.684341886080802e-14,3,2
85,1,-5.684341886080802e-14,1,2
85,2,-5.684341886080802e-14,2,1
85,3,82.3872338286502,1,3
85,4,-5.684341886080802e-14,3,1
85,5,64.36319060350014,2,3
85,6,-5.684341886080802e-14,3,2
86,1,-5.684341886080802e-14,1,2
86,2,-5.684341886080802e-14,2,1
86,3,101.22229234292527,1,3
86,4,-5.684341886080802e-14,3,1
86,5,45.29703256647493,2,3
86,6,-5.684341886080802e-14,3,2
87,1,-5.684341886080802e-14,1,2
87,2,-5.684341886080802e-14,2,1
87,3,77.10763082640017,1,3
87,4,-5.684341886080802e-14,3,1
87,5,45.32541006045002,2,3
87,6,-5.684341886080802e-14,3,2
88,1,-5.684341886080802e-14,1,2
88,2,37.51338121302496,2,1
88,3,48.35319669675007,1,3
88,4,4.9787986406870814,3,1
88,5,25.322655817024877,2,3
88,6,-5.684341886080802e-14,3,2
89,1,-5.684341886080802e-14,1,2
