id,area,timestep,timestep_fractional,load,load_shedding,power_dumping
385,1,39,38.4,237.61256000000003,0.0,0.0
386,1,39,38.5,236.83875,0.0,0.0
387,1,39,38.6,236.94784000000004,0.0,0.0
388,1,39,38.7,238.15517,0.0,0.0
389,1,39,38.8,240.67608,0.0,0.0
390,1,39,38.9,244.72591000000003,0.0,0.0
391,1,39,39.0,250.52,0.0,0.0
392,1,40,39.1,255.18194000000005,0.0,0.0
393,1,40,39.2,256.4619200000001,0.0,0.0
394,1,40,39.3,255.50617999999994,0.0,0.0
395,1,40,39.4,253.46096000000003,0.0,0.0
396,1,40,39.5,251.4725,0.0,0.0
397,1,40,39.6,250.68704000000002,0.0,0.0
398,1,40,39.7,252.25081999999998,0.0,0.0
399,1,40,39.8,257.31008,0.0,0.0
400,1,40,39.9,267.01106,0.0,0.0
401,1,40,40.0,282.5,0.0,0.0
402,1,41,40.1,297.93710000000004,0.0,0.0
403,1,41,40.2,307.5056000000001,0.0,0.0
404,1,41,40.3,312.39529999999996,0.0,0.0
405,1,41,40.4,313.79600000000005,0.0,0.0
406,1,41,40.5,312.8975,0.0,0.0
407,1,41,40.6,310.88960000000003,0.0,0.0
408,1,41,40.7,308.9621,0.0,0.0
409,1,41,40.8,308.3048,0.0,0.0
410,1,41,40.9,310.1075,0.0,0.0
411,1,41,41.0,315.56,0.0,0.0
412,1,42,41.1,322.04741,0.0,0.0
413,1,42,41.2,326.38328000000007,0.0,0.0
414,1,42,41.3,328.90006999999997,0.0,0.0
415,1,42,41.4,329.93024,0.0,0.0
416,1,42,41.5,329.80625,0.0,0.0
417,1,42,41.6,328.86055999999996,0.0,0.0
418,1,42,41.7,327.42562999999996,0.0,0.0
419,1,42,41.8,325.83392000000003,0.0,0.0
420,1,42,41.9,324.41789,0.0,0.0
421,1,42,42.0,323.51,0.0,0.0
422,1,43,42.1,323.54348,0.0,0.0
423,1,43,42.2,324.4462400000001,0.0,0.0
424,1,43,42.3,325.80175999999994,0.0,0.0
425,1,43,42.4,327.19352000000003,0.0,0.0
426,1,43,42.5,328.205,0.0,0.0
427,1,43,42.6,328.41968,0.0,0.0
428,1,43,42.7,327.42103999999995,0.0,0.0
429,1,43,42.8,324.79256,0.0,0.0
430,1,43,42.9,320.11772,0.0,0.0
431,1,43,43.0,312.98,0.0,0.0
432,1,44,43.1,306.7193600000001,0.0,0.0
433,1,44,43.2,304.19168000000013,0.0,0.0
434,1,44,43.3,304.2633199999999,0.0,0.0
435,1,44,43.4,305.80064000000004,0.0,0.0
436,1,44,43.5,307.67,0.0,0.0
437,1,44,43.6,308.73776000000004,0.0,0.0
438,1,44,43.7,307.87028,0.0,0.0
439,1,44,43.8,303.93392000000006,0.0,0.0
440,1,44,43.9,295.79504,0.0,0.0
441,1,44,44.0,282.32,0.0,0.0
442,1,45,44.1,268.87210000000005,0.0,0.0
443,1,45,44.2,260.8044000000001,0.0,0.0
444,1,45,44.3,256.9679,0.0,0.0
445,1,45,44.4,256.2136,0.0,0.0
446,1,45,44.5,257.3925,0.0,0.0
447,1,45,44.6,259.35560000000004,0.0,0.0
448,1,45,44.7,260.9539,0.0,0.0
449,1,45,44.8,261.0384,0.0,0.0
450,1,45,44.9,258.4601,0.0,0.0
451,1,45,45.0,252.07,0.0,0.0
452,1,46,45.1,245.05076,0.0,0.0
453,1,46,45.2,240.93528000000006,0.0,0.0
454,1,46,45.3,239.09991999999997,0.0,0.0
455,1,46,45.4,238.92104,0.0,0.0
456,1,46,45.5,239.775,0.0,0.0
457,1,46,45.6,241.03816,0.0,0.0
458,1,46,45.7,242.08688,0.0,0.0
459,1,46,45.8,242.29752000000002,0.0,0.0
460,1,46,45.9,241.04644000000002,0.0,0.0
461,1,46,46.0,237.71,0.0,0.0
462,1,47,46.1,233.92513000000005,0.0,0.0
463,1,47,46.2,231.5666400000001,0.0,0.0
464,1,47,46.3,230.36771,0.0,0.0
465,1,47,46.4,230.06152,0.0,0.0
466,1,47,46.5,230.38125,0.0,0.0
467,1,47,46.6,231.06008000000003,0.0,0.0
468,1,47,46.7,231.83119,0.0,0.0
469,1,47,46.8,232.42776000000003,0.0,0.0
470,1,47,46.9,232.58297000000002,0.0,0.0
471,1,47,47.0,232.03,0.0,0.0
472,1,48,47.1,231.16147000000004,0.0,0.0
473,1,48,47.2,230.54296000000005,0.0,0.0
474,1,48,47.3,230.15808999999996,0.0,0.0
475,1,48,47.4,229.99048,0.0,0.0
476,1,48,47.5,230.02375,0.0,0.0
477,1,48,47.6,230.24152000000004,0.0,0.0
478,1,48,47.7,230.62741,0.0,0.0
479,1,48,47.8,231.16504000000003,0.0,0.0
480,1,48,47.9,231.83803,0.0,0.0
481,1,48,48.0,232.63,0.0,0.0
482,1,49,48.1,233.345,0.0,0.0
483,1,49,48.2,233.81880000000007,0.0,0.0
484,1,49,48.3,234.09159999999994,0.0,0.0
485,1,49,48.4,234.20360000000005,0.0,0.0
486,1,49,48.5,234.195,0.0,0.0
487,1,49,48.6,234.10600000000005,0.0,0.0
488,1,49,48.7,233.9768,0.0,0.0
489,1,49,48.8,233.84760000000003,0.0,0.0
490,1,49,48.9,233.75860000000003,0.0,0.0
491,1,49,49.0,233.75,0.0,0.0
492,1,50,49.1,233.68984000000006,0.0,0.0
493,1,50,49.2,233.47032000000007,0.0,0.0
494,1,50,49.3,233.16787999999997,0.0,0.0
495,1,50,49.4,232.85896000000002,0.0,0.0
496,1,50,49.5,232.62,0.0,0.0
497,1,50,49.6,232.52744,0.0,0.0
498,1,50,49.7,232.65772,0.0,0.0
499,1,50,49.8,233.08728000000002,0.0,0.0
500,1,50,49.9,233.89256,0.0,0.0
501,1,50,50.0,235.15,0.0,0.0
502,1,51,50.1,236.23765000000006,0.0,0.0
503,1,51,50.2,236.63080000000002,0.0,0.0
504,1,51,50.3,236.54274999999993,0.0,0.0
505,1,51,50.4,236.1868,0.0,0.0
506,1,51,50.5,235.77625,0.0,0.0
507,1,51,50.6,235.5244,0.0,0.0
508,1,51,50.7,235.64454999999998,0.0,0.0
509,1,51,50.8,236.35000000000002,0.0,0.0
510,1,51,50.9,237.85405,0.0,0.0
511,1,51,51.0,240.37,0.0,0.0
512,1,52,51.1,242.75710000000004,0.0,0.0
513,1,52,51.2,243.94360000000006,0.0,0.0
514,1,52,51.3,244.2463,0.0,0.0
515,1,52,51.4,243.982,0.0,0.0
516,1,52,51.5,243.46749999999997,0.0,0.0
517,1,52,51.6,243.01960000000003,0.0,0.0
518,1,52,51.7,242.95509999999996,0.0,0.0
519,1,52,51.8,243.5908,0.0,0.0
520,1,52,51.9,245.24349999999998,0.0,0.0
521,1,52,52.0,248.23,0.0,0.0
522,1,53,52.1,251.17120000000003,0.0,0.0
523,1,53,52.2,252.70480000000006,0.0,0.0
524,1,53,52.3,253.18179999999995,0.0,0.0
525,1,53,52.4,252.95320000000004,0.0,0.0
526,1,53,52.5,252.37,0.0,0.0
527,1,53,52.6,251.78320000000002,0.0,0.0
528,1,53,52.7,251.5438,0.0,0.0
529,1,53,52.8,252.00280000000004,0.0,0.0
530,1,53,52.9,253.51120000000003,0.0,0.0
531,1,53,53.0,256.42,0.0,0.0
532,1,54,53.1,259.24366000000003,0.0,0.0
533,1,54,53.2,260.5352800000001,0.0,0.0
534,1,54,53.3,260.71281999999997,0.0,0.0
535,1,54,53.4,260.19424000000004,0.0,0.0
536,1,54,53.5,259.3975,0.0,0.0
537,1,54,53.6,258.7405600000001,0.0,0.0
538,1,54,53.7,258.64137999999997,0.0,0.0
539,1,54,53.8,259.51792,0.0,0.0
540,1,54,53.9,261.78814,0.0,0.0
541,1,54,54.0,265.87,0.0,0.0
542,1,55,54.1,269.75426000000004,0.0,0.0
543,1,55,54.2,271.53528000000006,0.0,0.0
544,1,55,54.3,271.78641999999996,0.0,0.0
545,1,55,54.4,271.08104000000003,0.0,0.0
546,1,55,54.5,269.9925,0.0,0.0
547,1,55,54.6,269.09416000000004,0.0,0.0
548,1,55,54.7,268.95938,0.0,0.0
549,1,55,54.8,270.16152,0.0,0.0
550,1,55,54.9,273.27394000000004,0.0,0.0
551,1,55,55.0,278.87,0.0,0.0
552,1,56,55.1,284.05773000000005,0.0,0.0
553,1,56,55.2,286.18024,0.0,0.0
554,1,56,55.3,286.1545099999999,0.0,0.0
555,1,56,55.4,284.89752000000004,0.0,0.0
556,1,56,55.5,283.32625,0.0,0.0
557,1,56,55.6,282.35768,0.0,0.0
558,1,56,55.7,282.90879,0.0,0.0
559,1,56,55.8,285.89656,0.0,0.0
560,1,56,55.9,292.23797,0.0,0.0
561,1,56,56.0,302.85,0.0,0.0
562,1,57,56.1,313.5358500000001,0.0,0.0
563,1,57,56.2,320.0700000000001,0.0,0.0
564,1,57,56.3,323.31735,0.0,0.0
565,1,57,56.4,324.1428000000001,0.0,0.0
566,1,57,56.5,323.41125,0.0,0.0
567,1,57,56.6,321.98760000000004,0.0,0.0
568,1,57,56.7,320.73675,0.0,0.0
