timestep,plant_id,production,area,fuel_type,status,startup
11,157,212.36000300099948,2,Wind,0,0
11,49900,0.0,3,Hydro,0,0
11,49901,0.0,3,Hydro,0,0
11,49902,0.0,3,Hydro,0,0
11,49903,0.0,3,Hydro,0,0
11,49904,0.0,3,Hydro,0,0
11,49905,0.0,3,Hydro,0,0
11,49906,0.0,3,Hydro,0,0
11,49907,11.249801887501956,3,Hydro,0,0
11,49908,0.0,3,Hydro,0,0
11,49911,0.0,3,Hydro,0,0
11,49912,0.0,3,Hydro,0,0
11,49913,0.0,3,Hydro,0,0
11,49914,0.0,3,Hydro,0,0
11,49915,0.0,3,Hydro,0,0
11,49920,0.0,3,Hydro,0,0
11,49921,0.0,3,Hydro,0,0
11,49922,2.0591079313378335,3,Hydro,0,0
11,49923,0.0,3,Hydro,0,0
11,49924,0.0,3,Hydro,0,0
11,49925,0.0,3,Hydro,0,0
11,49927,0.0,3,Hydro,0,0
11,49928,0.0,3,Hydro,0,0
11,49929,0.0,3,Hydro,0,0
11,49930,0.0,3,Hydro,0,0
11,49931,0.0,3,Hydro,0,0
12,1,0.0,1,Thermal,0,0
12,2,0.0,1,Thermal,0,0
12,3,0.0,1,Thermal,0,0
12,4,20.752650057500038,1,Thermal,0,0
12,5,0.0,1,Thermal,0,0
12,6,0.0,1,Thermal,0,0
12,7,0.0,1,Thermal,0,0
12,8,0.0,1,Thermal,0,0
12,9,0.0,1,Thermal,0,0
12,10,0.0,1,Thermal,0,0
12,154,43.789998999900114,2,Wind,0,0
12,155,230.86249500227515,2,Wind,0,0
12,156,136.8398370067007,2,Wind,0,0
12,157,212.5550230016503,2,Wind,0,0
12,49900,0.0,3,Hydro,0,0
12,49901,0.0,3,Hydro,0,0
12,49902,0.0,3,Hydro,0,0
12,49903,0.0,3,Hydro,0,0
12,49904,0.0,3,Hydro,0,0
12,49905,0.0,3,Hydro,0,0
12,49906,0.0,3,Hydro,0,0
12,49907,10.126073340343241,3,Hydro,0,0
12,49908,0.0,3,Hydro,0,0
12,49911,4.999535950004636,3,Hydro,0,0
12,49912,0.0,3,Hydro,0,0
12,49913,0.0,3,Hydro,0,0
12,49914,0.0,3,Hydro,0,0
12,49915,0.0,3,Hydro,0,0
12,49920,16.67499983325009,3,Hydro,0,0
12,49921,0.0,3,Hydro,0,0
12,49922,6.249743937502561,3,Hydro,0,0
12,49923,0.0,3,Hydro,0,0
12,49924,0.0,3,Hydro,0,0
12,49925,0.0,3,Hydro,0,0
12,49927,0.0,3,Hydro,0,0
12,49928,0.0,3,Hydro,0,0
12,49929,0.0,3,Hydro,0,0
12,49930,0.0,3,Hydro,0,0
12,49931,0.0,3,Hydro,0,0
13,1,0.0,1,Thermal,0,0
13,2,0.0,1,Thermal,0,0
13,3,22.0016980903822,1,Thermal,0,0
13,4,53.00000000000015,1,Thermal,1,1
13,5,0.0,1,Thermal,0,0
13,6,0.0,1,Thermal,0,0
13,7,20.752650057500038,1,Thermal,0,0
13,8,20.752650057500038,1,Thermal,0,0
13,9,0.0,1,Thermal,0,0
13,10,0.0,1,Thermal,0,0
13,154,43.76999799980002,2,Wind,0,0
13,155,231.1974949979258,2,Wind,0,0
13,156,134.69484449629985,2,Wind,0,0
13,157,213.36252349822564,2,Wind,0,0
13,49900,0.0,3,Hydro,0,0
13,49901,0.0,3,Hydro,0,0
13,49902,0.0,3,Hydro,0,0
13,49903,0.0,3,Hydro,0,0
13,49904,0.0,3,Hydro,0,0
13,49905,0.0,3,Hydro,0,0
13,49906,0.0,3,Hydro,0,0
13,49907,11.249801887494051,3,Hydro,0,0
13,49908,0.0,3,Hydro,0,0
13,49911,5.312688637380933,3,Hydro,0,0
13,49912,0.0,3,Hydro,0,0
13,49913,0.0,3,Hydro,0,0
13,49914,0.0,3,Hydro,0,0
13,49915,0.0,3,Hydro,0,0
13,49920,34.76495749095529,3,Hydro,0,0
13,49921,0.0,3,Hydro,0,0
13,49922,6.249743937502561,3,Hydro,0,0
13,49923,0.0,3,Hydro,0,0
13,49924,14.967723525447619,3,Hydro,0,0
13,49925,0.0,3,Hydro,0,0
13,49927,0.0,3,Hydro,0,0
13,49928,0.0,3,Hydro,0,0
13,49929,0.0,3,Hydro,0,0
13,49930,0.0,3,Hydro,0,0
13,49931,0.0,3,Hydro,0,0
14,1,0.0,1,Thermal,0,0
14,2,0.0,1,Thermal,0,0
14,3,53.416238330754,1,Thermal,1,1
14,4,58.26783309707623,1,Thermal,1,0
14,5,0.0,1,Thermal,0,0
14,6,0.0,1,Thermal,0,0
14,7,70.25114994249988,1,Thermal,1,1
14,8,70.25114994249988,1,Thermal,1,1
14,9,0.0,1,Thermal,0,0
14,10,0.0,1,Thermal,0,0
14,154,43.71999099919983,2,Wind,0,0
14,155,230.74746849877505,2,Wind,0,0
14,156,130.7698290029002,2,Wind,0,0
14,157,213.54749749847488,2,Wind,0,0
14,49900,0.0,3,Hydro,0,0
14,49901,0.0,3,Hydro,0,0
14,49902,0.0,3,Hydro,0,0
14,49903,0.0,3,Hydro,0,0
14,49904,0.0,3,Hydro,0,0
14,49905,0.0,3,Hydro,0,0
14,49906,0.0,3,Hydro,0,0
14,49907,2.8409182215908406,3,Hydro,0,0
14,49908,0.0,3,Hydro,0,0
14,49911,1.417725287405107,3,Hydro,0,0
14,49912,0.0,3,Hydro,0,0
14,49913,0.0,3,Hydro,0,0
14,49914,0.0,3,Hydro,0,0
14,49915,0.0,3,Hydro,0,0
14,49920,0.0012004900620238728,3,Hydro,0,0
14,49921,0.0,3,Hydro,0,0
14,49922,0.0,3,Hydro,0,0
14,49923,0.0,3,Hydro,0,0
14,49924,0.0,3,Hydro,0,0
14,49925,0.0,3,Hydro,0,0
14,49927,0.0,3,Hydro,0,0
14,49928,0.0,3,Hydro,0,0
14,49929,0.0,3,Hydro,0,0
14,49930,0.0,3,Hydro,0,0
14,49931,0.0,3,Hydro,0,0
15,1,0.0,1,Thermal,0,0
15,2,0.0,1,Thermal,0,0
15,3,70.25114994249988,1,Thermal,1,0
15,4,71.21639563330288,1,Thermal,1,0
15,5,0.0,1,Thermal,0,0
15,6,0.0,1,Thermal,0,0
15,7,64.79188277808277,1,Thermal,1,0
15,8,74.84922732947932,1,Thermal,1,0
15,9,0.0,1,Thermal,0,0
15,10,0.0,1,Thermal,0,0
15,154,43.40747949937496,2,Wind,0,0
15,155,229.93995299900038,2,Wind,0,0
15,156,127.81737750307485,2,Wind,0,0
15,157,213.28247699857508,2,Wind,0,0
15,49900,0.0,3,Hydro,0,0
15,49901,0.0,3,Hydro,0,0
15,49902,0.0,3,Hydro,0,0
15,49903,0.0,3,Hydro,0,0
15,49904,0.0,3,Hydro,0,0
15,49905,0.0,3,Hydro,0,0
15,49906,0.0,3,Hydro,0,0
15,49907,-7.90883911302084e-12,3,Hydro,0,0
15,49908,0.0,3,Hydro,0,0
15,49911,0.0,3,Hydro,0,0
15,49912,0.0,3,Hydro,0,0
15,49913,0.0,3,Hydro,0,0
15,49914,0.0,3,Hydro,0,0
15,49915,0.0,3,Hydro,0,0
15,49920,0.001249759924338816,3,Hydro,0,0
15,49921,0.0,3,Hydro,0,0
15,49922,0.0,3,Hydro,0,0
15,49923,0.0,3,Hydro,0,0
15,49924,0.0,3,Hydro,0,0
15,49925,0.0,3,Hydro,0,0
15,49927,0.0,3,Hydro,0,0
15,49928,0.0,3,Hydro,0,0
15,49929,0.0,3,Hydro,0,0
15,49930,0.0,3,Hydro,0,0
15,49931,0.0,3,Hydro,0,0
16,1,0.0,1,Thermal,0,0
16,2,0.0,1,Thermal,0,0
16,3,70.24884994249993,1,Thermal,1,0
16,4,70.24884994249993,1,Thermal,1,0
16,5,0.0,1,Thermal,0,0
16,6,0.0,1,Thermal,0,0
16,7,51.181495952356904,1,Thermal,1,0
16,8,70.23524731635621,1,Thermal,1,0
16,9,0.0,1,Thermal,0,0
16,10,0.0,1,Thermal,0,0
16,154,42.88249300187491,2,Wind,0,0
16,155,228.83745200052616,2,Wind,0,0
16,156,125.88238149832448,2,Wind,0,0
16,157,212.59746449957368,2,Wind,0,0
16,49900,0.0,3,Hydro,0,0
16,49901,0.0,3,Hydro,0,0
16,49902,0.0,3,Hydro,0,0
16,49903,0.0,3,Hydro,0,0
16,49904,0.0,3,Hydro,0,0
16,49905,0.0,3,Hydro,0,0
16,49906,0.0,3,Hydro,0,0
16,49907,0.538058094467787,3,Hydro,0,0
16,49908,0.0,3,Hydro,0,0
16,49911,0.0,3,Hydro,0,0
16,49912,0.0,3,Hydro,0,0
16,49913,0.0,3,Hydro,0,0
16,49914,0.0,3,Hydro,0,0
16,49915,0.0,3,Hydro,0,0
16,49920,1.8792862579689038,3,Hydro,0,0
16,49921,1.4247810468173465e-15,3,Hydro,0,0
16,49922,0.0,3,Hydro,0,0
16,49923,0.0,3,Hydro,0,0
16,49924,0.0,3,Hydro,0,0
16,49925,0.0,3,Hydro,0,0
16,49927,0.0,3,Hydro,0,0
16,49928,0.0,3,Hydro,0,0
16,49929,0.0,3,Hydro,0,0
16,49930,0.0,3,Hydro,0,0
16,49931,0.0,3,Hydro,0,0
17,1,0.0,1,Thermal,0,0
17,2,0.0,1,Thermal,0,0
17,3,35.7488500574999,1,Thermal,1,0
17,4,36.20931522129352,1,Thermal,1,0
17,5,0.0,1,Thermal,0,0
17,6,0.0,1,Thermal,0,0
17,7,52.99999999999987,1,Thermal,1,0
17,8,68.81077187625084,1,Thermal,1,0
17,9,0.0,1,Thermal,0,0
17,10,0.0,1,Thermal,0,0
17,154,43.179989497149855,2,Wind,0,0
17,155,228.0199494988502,2,Wind,0,0
17,156,123.03238850382489,2,Wind,0,0
17,157,211.83496299994974,2,Wind,0,0
17,49900,0.0,3,Hydro,0,0
17,49901,0.0,3,Hydro,0,0
17,49902,0.0,3,Hydro,0,0
17,49903,0.0,3,Hydro,0,0
17,49904,0.0,3,Hydro,0,0
17,49905,0.0,3,Hydro,0,0
17,49906,0.0,3,Hydro,0,0
17,49907,0.8047666475242653,3,Hydro,0,0
17,49908,0.0,3,Hydro,0,0
17,49911,0.0,3,Hydro,0,0
17,49912,0.0,3,Hydro,0,0
17,49913,0.0,3,Hydro,0,0
17,49914,0.0,3,Hydro,0,0
17,49915,0.0,3,Hydro,0,0
17,49920,0.0024756200497484783,3,Hydro,0,0
17,49921,0.0,3,Hydro,0,0
17,49922,0.0,3,Hydro,0,0
17,49923,0.0,3,Hydro,0,0
17,49924,0.0,3,Hydro,0,0
17,49925,0.0,3,Hydro,0,0
17,49927,0.0,3,Hydro,0,0
17,49928,0.0,3,Hydro,0,0
17,49929,0.0,3,Hydro,0,0
17,49930,0.0,3,Hydro,0,0
17,49931,0.0,3,Hydro,0,0
18,1,0.0,1,Thermal,0,0
18,2,0.0,1,Thermal,0,0
18,3,53.00230000000014,1,Thermal,1,0
18,4,30.15344746246918,1,Thermal,1,0
18,5,0.0,1,Thermal,0,0
18,6,0.0,1,Thermal,0,0
18,7,35.7488500574999,1,Thermal,1,0
18,8,59.45205838294292,1,Thermal,1,0
18,9,0.0,1,Thermal,0,0
18,10,0.0,1,Thermal,0,0
18,154,42.58243899597487,2,Wind,0,0
18,155,226.8724259978742,2,Wind,0,0
18,156,121.23496550719983,2,Wind,0,0
18,157,211.1174554989743,2,Wind,0,0
18,49900,0.0,3,Hydro,0,0
